boxer_id,name,wiki_url,norm,pbo_appearances
Kevin_Lele_Sadjo,Kevin Lele Sadjo,https://en.wikipedia.org/wiki/Kevin_Lele_Sadjo,kevin lele sadjo,10
Wade_Ryan,Wade Ryan,https://en.wikipedia.org/wiki/Wade_Ryan,wade ryan,10
Mickey_Ellison,Mickey Ellison,https://en.wikipedia.org/wiki/Mickey_Ellison,mickey ellison,10
Takuma_Inoue,Takuma Inoue,https://en.wikipedia.org/wiki/Takuma_Inoue,takuma inoue,10
Joseph_Adorno,Joseph Adorno,https://en.wikipedia.org/wiki/Joseph_Adorno,joseph adorno,10
Subriel_Matías,Subriel Matias,https://en.wikipedia.org/wiki/Subriel_Matías,subriel matias,10
Rolando_Romero,Rolando Romero,https://en.wikipedia.org/wiki/Rolando_Romero,rolando romero,10
Brian_Norman_Jr,Brian Norman Jr,https://en.wikipedia.org/wiki/Brian_Norman_Jr,brian norman,10
Andrew_Moloney,Andrew Moloney,https://en.wikipedia.org/wiki/Andrew_Moloney,andrew moloney,10
Javier_Martinez,Javier Martinez,https://en.wikipedia.org/wiki/Javier_Martinez,javier martinez,10
Caoimhin_Agyarko,Caoimhin Agyarko,https://en.wikipedia.org/wiki/Caoimhin_Agyarko,caoimhin agyarko,10
Gary_Cully,Gary Cully,https://en.wikipedia.org/wiki/Gary_Cully,gary cully,10
Florian_Marku,Florian Marku,https://en.wikipedia.org/wiki/Florian_Marku,florian marku,10
William_Zepeda,William Zepeda,https://en.wikipedia.org/wiki/William_Zepeda,william zepeda,10
Liam_Davies,Liam Davies,https://en.wikipedia.org/wiki/Liam_Davies,liam davies,10
Angel_Fierro,Angel Fierro,https://en.wikipedia.org/wiki/Angel_Fierro,angel fierro,10
Sam_Gilley,Sam Gilley,https://en.wikipedia.org/wiki/Sam_Gilley,sam gilley,10
Koen_Mazoudier,Koen Mazoudier,https://en.wikipedia.org/wiki/Koen_Mazoudier,koen mazoudier,10
Euri_Cedeno,Euri Cedeno,https://en.wikipedia.org/wiki/Euri_Cedeno,euri cedeno,10
