name,pbo_appearances
Diego Alberto Ruiz,6
Diego de La Hoya,6
Dmitry Bivol,6
Dylan Cheema,6
Ebanie Bridges,6
Ebonie Jones,6
Eduardo Nunez,6
Edwin Rodriguez,6
Elwin Soto,6
Erika Cruz Hernandez,6
Erislandy Alvarez,6
Esra Yildiz,6
Felix Alvarado,6
Fernando Daniel Martinez,6
Floyd Mayweather Jr,6
Francisco Fonseca,6
Frank Sanchez Faure,6
Gabor Gorbics,6
Ginjiro Shigeoka,6
Giovanni Santillan,6
Hannah Rankin,6
Hemi Ahio,6
Hosea Burton,6
Hovhannes Bachkov,6
Imane Khelif,6
Isaias Sette,6
Ishmael Davis,6
Israel Duffus,6
Jack Flatley,6
Jack Rafferty,6
Jack Turner,6
James Beech Jnr,6
James Metcalf,6
James Tennyson,6
Janelson Figueroa Bocachica,6
Janibek Alimkhanuly,6
Jason Quigley,6
Jason Sanchez,6
Javier Molina,6
Jean Pascal,6
Jermaine Franklin,6
Jesus Saracho,6
Jezzrel Corrales,6
Jin Sasaki,6
Joel McIntyre,6
Joeshon James,6
Johan Gonzalez,6
John Mannu,6
John Ramirez,6
Jonathan Gonzalez,6
Jose Sanmartin,6
Joshua Edwards,6
Joshua Franco,6
Joshua Greer Jr,6
Joshua James Pagan,6
Juan Francisco Estrada,6
Julian Williams,6
Karen Chukhadzhian,6
Karol Welter,6
Keith Hunter,6
Khalid Ali,6
Khalid Graidia,6
Ksi,6
Lester Martinez,6
Liam Taylor,6
Lin Yu-Ting,6
Linn Sandstrom,6
Linus Udofia,6
Luis Lebron,6
Luis Ortiz,6
Mairis Briedis,6
Maliek Montgomery,6
Marc Leach,6
Marcelo Esteban Coceres,6
Marek Matyja,6
Masood Abdulah,6
Mateusz Masternak,6
Matteo Signani,6
Maurice Hooker,6
Max McIntyre,6
Melvin Jerusalem,6
Michael Webster,6
Michal Lesniak,6
Michel Soro,6
Mike Plania,6
Miles Zalewski,6
Montana Love,6
Mourad Aliev,6
Muhammad Waseem,6
Murat Gassiev,6
Nathaniel Gallimore,6
Nesthy Petecio,6
Nikodem Jezewski,6
Nina Meinke,6
Nishant Dev,6
Nort Beauchamp,6
Omari Jones,6
Otar Eranosyan,6
Panya Pradabsri,6
Patrick Teixeira,6
Pawel Stepien,6
Pedro Guevara,6
Phil Williams,6
Quaise Khademi,6
Rafael Espinoza,6
Rey Vargas,6
Ricardo Quiroz,6
Richard Torrez,6
Robin Krasniqi,6
Robin Zamora,6
Roger Gutierrez,6
Roiman Villa,6
Ronald Ellis,6
Ronny Landaeta,6
Rydell Booker,6
Saken Bibossinov,6
Samuel Antwi,6
Saul Sanchez,6
Scott Forrest,6
Sebastian Formella,6
Shadasia Green,6
Shannon O'Connell,6
Shokichi Iwata,6
Simon Kean,6
Sladan Janjanin,6
Starling Castillo,6
Stephan Shaw,6
Stephen Danyo,6
Takeshi Inoue,6
Thomas Carty,6
Thomas Whittaker Hart,6
Tony Harrison,6
Tysie Gallagher,6
Ukashir Farooq,6
Vasil Ducar,6
Viktor Vykhryst,6
Vincent Feigenbutz,6
Xolisani Ndongeni,6
Yeis Gabriel Solano,6
Yoenis Tellez,6
Yomar Alamo,6
Youssef Dib,6
Yudai Shigeoka,6
Zhan Kossobutskiy,6
Aaron Silva,5
Abraham Montoya,5
Adam Balski,5
Adrian Curiel,5
Akeem Ennis Brown,5
Albert Gonzalez,5
Albert Ramirez,5
Alberto Machado,5
Alberto Palmetta,5
Alex Dilmaghani,5
Amari Jones,5
Andrew Tabiti,5
Anthony Dirrell,5
Antonio Todd,5
April Hunter,5
Arely Mucino,5
Ariel Esteban Bracamonte,5
Austin Trout,5
Bartosz Glowacki,5
Ben Fail,5
Ben Mahoney,5
Benjamin Hussain,5
Benjamin Kelleher,5
Benjamin Whittaker,5
Billal Bennama,5
Billy Joe Saunders,5
Blake Wells,5
Bogdan Dinu,5
Boris Crighton,5
Bruno Tarimo,5
Bryan Chevalier,5
Bryce Mills,5
Busenaz Surmeneli,5
Caleb Truax,5
Callum Thompson,5
Cameron Krael,5
Can Xu,5
Carl Fail,5
Carlos Balderas,5
Carlos Canizales,5
Carlos Negron,5
Caroline Veyre,5
Cesar Francis,5
Charlie Senior,5
Charlie Sheehy,5
Chen Nien-Chin,5
Christopher Brooker,5
Christopher Pearson,5
Clarence Booth,5
Claudio Marrero,5
Cobia Breedy,5
Craig Woodruff,5
Cristofer Rosales,5
Curtis Harper,5
D'Mitrius Ballard,5
Dakota Linger,5
Daniel Garcia,5
Daniel Roman,5
Daniyar Yeleussinov,5
David Oliver Joyce,5
David Papot,5
David Zegarra,5
Deandre Ware,5
Demond Nicholson,5
Denys Berinchyk,5
Derrick Osaze,5
Derrieck Cuevas,5
Dmitrii Bivol,5
Dominic Boesel,5
Dominic Valle,5
Donnie Nietes,5
Dylan Biggs,5
Dylan Bregeon,5
Dylan Moran,5
Elhem Mekhaled,5
Elias Damian Araujo,5
Elijah Garcia,5
Enriko Gogokhia,5
Erica Anabella Farias,5
Eumir Marcial,5
Evan Holyfield,5
Evelin Nazarena Bermudez,5
Ezequiel Gregores,5
Felix Sturm,5
Femke Hermans,5
Floyd Masson,5
Fredrick Lawson,5
Froilan Saludar,5
Gabriel Maestre,5
George Acosta,5
Hatice Akbas,5
Heather Hardy,5
Huang Hsiao-Wen,5
Ihosvany Rafael Garcia,5
Ijaz Ahmed,5
Im Ae-Ji,5
Ingrit Valencia,5
Irma Testa,5
Ishmael Ellis,5
Israel Gonzalez,5
Jake Wyllie,5
Jakub Laskowski,5
James Osborne,5
Jan Czerklewicz,5
Jasmine Parr,5
Jay McFarlane,5
Jeremiah Milton,5
Jeremy Hill,5
Jesse Hart,5
Jez Smith,5
Joe Hardy,5
Joe Laws,5
Joel Taylor,5
John Vincent Moralde,5
Jonathan Lopez,5
Jonathan Oquendo,5
Jordan Flynn,5
Jordan White,5
Jorge Garcia Perez,5
Jorge Linares,5
Jose Armando Resendiz,5
Jose Benavidez Jr,5
Jose Matias Romero,5
Jose de Jesus Macias,5
Joselito Velazquez,5
Joseph Hicks,5
Josh Wagner,5
Josue Vargas,5
Juan Carlos Payano,5
Juan Jose Velasco,5
Julia Szeremeta,5
Julio Cesar La Cruz,5
Junior Fa,5
Justin Deloach,5
Jutamas Jitpong,5
Kamil Laszczyk,5
Kamil Szeremeta,5
Kamshybek Kunkabayev,5
Kane Gardner,5
Karim Guerfi,5
Katsuma Akitsugi,5
Kazuki Nakajima,5
Keith Thurman,5
Kem Ljungquist,5
Kendo Castaneda,5
Kenneth Sims Jr,5
Kevin Gonzalez,5
Kevin Trana,5
Kieran Gething,5
Kirstie Bavington,5
Kosuke Saka,5
Kudratillo Abdukakhorov,5
Ladarius Miller,5
Leon Harth,5
Leonardo Baez,5
Lewis Richardson,5
Liam Cameron,5
Liam Conroy,5
Lorenzo Simpson,5
Louie Lynn,5
Louis Marsters,5
Lucas Bahdi,5
Lucas Santamaria,5
Luis Arias,5
Luis Coria,5
Luis Melendez,5
Luis Reynaldo Nunez,5
Luka Plantic,5
Lukasz Plawecki,5
Lukasz Stanioch,5
Lukasz Wierzbicki,5
Magomed Kurbanov,5
Manny Pacquiao,5
Marcin Siwy,5
Mark Bernaldez,5
Mark Smither,5
Marques Valle,5
Marvin Solano,5
Masamichi Yabuki,5
Masanori Rikiishi,5
Masataka Taniguchi,5
Mauro Alex Hasan Perouene,5
Mazlum Akdeniz,5
Mehmet Unal,5
Meiirim Nursultanov,5
Miguel Flores,5
Miguel Madueno,5
Mike Perez,5
Mikhail Aloyan,5
Mirco Cuello,5
Misael Lopez,5
Mizuki Hiruta,5
Mohammed Alakel,5
Mykal Fox,5
Nahir Albright,5
Nick Campbell,5
Nicolas Polanco,5
Omar Rosario,5
Oscar Escandon,5
Pablo Vicente,5
Pat Brown,5
Patrick Korte,5
Pavel Sour,5
Pedro Taduran,5
Peter Dobson,5
Pierce O Rleary,5
Pierce O'Leary,5
Piotr Gudel,5
Pryce Taylor,5
Quinton Randall,5
Ralfs Vilcans,5
Raul Garcia,5
Rene Santiago,5
Richard Medina,5
Rob Brant,5
Robert Helenius,5
Robert Talarek,5
Romero Duno,5
Rostam Ibrahim,5
Ruslan Abdullaev,5
Ryad Merhy,5
Ryan Farrag,5
Ryan Kelly,5
Ryan Walker,5
Sanny Duversonne,5
Seigo Yuri Akui,5
Seiya Tsutsumi,5
Sena Agbeko,5
Sena Irie,5
Senad Gashi,5
Serge Ambomo,5
Sergey Kovalev,5
Sergio Garcia,5
Shakeel Phinn,5
Shaun Cooper,5
Shavkatdzhon Rakhimov,5
Shinard Bunch,5
Steed Woodall,5
Stephen McKenna,5
Steve Robinson,5
Steven Navarro,5
Steven Ward,5
Takuya Watanabe,5
Tammara Thibeault,5
Taz Nadeem,5
Thomas Dulorme,5
Thomas Lamanna,5
Toka Kahn Clary,5
Tommy Fletcher,5
Tomoki Kameda,5
Toshiki Shimomachi,5
Tsubasa Narai,5
Ty Telford,5
Tyler Blizzard,5
Tyler Howard,5
Uisma Lima,5
Umar Dzambekov,5
Vaida Masiokaite,5
Viktor Postol,5
Viktor Slavinskyi,5
Vincenzo Gualtieri,5
William Foster III,5
William Hayden,5
Williams Andres Herrera,5
Wu Shih-Yi,5
Wulan Tuolehazi,5
Yamileth Mercado,5
Yang Liu,5
Yankiel Rivera Figueroa,5
Yoelvis Gomez,5
Yohan Vasquez,5
Zaquin Moses,5
Zaur Abdullaev,5
Aaron Alameda,4
Abdulmalik Khalokov,4
Abner Teixeira,4
Adrian Granados,4
Adrian Rodriguez,4
Adrien Broner,4
Ahmed Elbiali,4
