fight_date,boxer_a,boxer_b,winner,method,round,weight_class,location,source_url
19 Jul 2025,Oleksandr Usyk,Daniel Dubois,Oleksandr Usyk,ko,5,,"Wembley Stadium , London, England",
21 Dec 2024,Oleksandr Usyk,Tyson Fury,Oleksandr Usyk,decision_unanimous,12,,"Kingdom Arena, Riyadh, Saudi Arabia",
18 May 2024,Oleksandr Usyk,Tyson Fury,Oleksandr Usyk,decision_split,12,,"Kingdom Arena , Riyadh , Saudi Arabia",
26 Aug 2023,Oleksandr Usyk,Daniel Dubois,Oleksandr Usyk,ko,9,,"Wrocław Stadium , Wrocław , Poland",
20 Aug 2022,Oleksandr Usyk,Anthony Joshua,Oleksandr Usyk,decision_split,12,,"King Abdullah Sports City , Jeddah , Saudi Arabia",
25 Sep 2021,Oleksandr Usyk,Anthony Joshua,Oleksandr Usyk,decision_unanimous,12,,"Tottenham Hotspur Stadium , London, England",
31 Oct 2020,Oleksandr Usyk,Derek Chisora,Oleksandr Usyk,decision_unanimous,12,,"Wembley Arena , London , England",
12 Oct 2019,Oleksandr Usyk,Chazz Witherspoon,Oleksandr Usyk,tko_corner,7,,"Wintrust Arena , Chicago, Illinois , US",
10 Nov 2018,Oleksandr Usyk,Tony Bellew,Oleksandr Usyk,ko,8,,"Manchester Arena , Manchester , England",
21 Jul 2018,Oleksandr Usyk,Murat Gassiev,Oleksandr Usyk,decision_unanimous,12,,"Olympic Stadium , Moscow , Russia",
27 Jan 2018,Oleksandr Usyk,Mairis Briedis,Oleksandr Usyk,decision_majority,12,,"Arēna Rīga , Riga , Latvia",
9 Sep 2017,Oleksandr Usyk,Marco Huck,Oleksandr Usyk,tko,10,,"Max-Schmeling-Halle , Berlin , Germany",
8 Apr 2017,Oleksandr Usyk,Michael Hunter,Oleksandr Usyk,decision_unanimous,12,,"MGM National Harbor , Oxon Hill, Maryland , US",
17 Dec 2016,Oleksandr Usyk,Thabiso Mchunu,Oleksandr Usyk,tko,9,,"The Forum , Inglewood, California , US",
17 Sep 2016,Oleksandr Usyk,Krzysztof Głowacki,Oleksandr Usyk,decision_unanimous,12,,"Ergo Arena , Gdańsk , Poland",
12 Dec 2015,Oleksandr Usyk,Pedro Rodriguez,Oleksandr Usyk,tko,7,,"Palace of Sports, Kyiv, Ukraine",
29 Aug 2015,Oleksandr Usyk,Johnny Muller,Oleksandr Usyk,tko,3,,"Palace of Sports, Kyiv, Ukraine",
18 Apr 2015,Oleksandr Usyk,Andrey Knyazev,Oleksandr Usyk,tko,8,,"Palace of Sports, Kyiv, Ukraine",
13 Dec 2014,Oleksandr Usyk,Danie Venter,Oleksandr Usyk,tko,9,,"Palace of Sports, Kyiv, Ukraine",
4 Oct 2014,Oleksandr Usyk,Daniel Bruwer,Oleksandr Usyk,tko,7,,"Arena Lviv , Lviv , Ukraine",
31 May 2014,Oleksandr Usyk,Cesar David Crenz,Oleksandr Usyk,ko,4,,"Sports Palace, Odesa , Ukraine",
26 Apr 2014,Oleksandr Usyk,Ben Nsafoah,Oleksandr Usyk,ko,3,,"König Pilsener Arena , Oberhausen , Germany",
7 Dec 2013,Oleksandr Usyk,Epifanio Mendoza,Oleksandr Usyk,tko,4,,"Ice Arena TEC Terminal, Brovary , Ukraine",
9 Nov 2013,Oleksandr Usyk,Felipe Romero,Oleksandr Usyk,tko,5,,"Palace of Sports , Kyiv , Ukraine",
25 Oct 2025,Fabio Wardley,Joseph Parker,Fabio Wardley,tko,11,,"The O2 Arena, London, England",
7 Jun 2025,Fabio Wardley,Justis Huni,Fabio Wardley,ko,10,,"Portman Road , Ipswich , England",
12 Oct 2024,Fabio Wardley,Frazer Clarke,Fabio Wardley,tko,1,,"Kingdom Arena , Riyadh, Saudi Arabia",
31 Mar 2024,Fabio Wardley,Frazer Clarke,,decision_split,12,,"The O2 Arena, London, England",
28 Oct 2023,Fabio Wardley,David Adeleye,Fabio Wardley,tko,7,,"Boulevard Hall, Riyadh , Saudi Arabia",
1 Apr 2023,Fabio Wardley,Michael Polite Coffie,Fabio Wardley,tko,4,,"The O2 Arena, London, England",
26 Nov 2022,Fabio Wardley,Nathan Gorman,Fabio Wardley,tko,3,,"Wembley Arena, London, England",
9 Jul 2022,Fabio Wardley,Chris Healey,Fabio Wardley,tko,2,,"The O2 Arena, London, England",
27 Feb 2022,Fabio Wardley,Daniel Martz,Fabio Wardley,ko,2,,"The O2 Arena, London, England",
7 Aug 2021,Fabio Wardley,Nick Webb,Fabio Wardley,ko,1,,"Matchroom Headquarters, Brentwood, England",
27 Mar 2021,Fabio Wardley,Éric Molina,Fabio Wardley,ko,5,,"Europa Point Sports Complex , Gibraltar",
21 Nov 2020,Fabio Wardley,Richard Lartey,Fabio Wardley,tko,2,,"Wembley Arena , London, England",
1 Aug 2020,Fabio Wardley,Simon Vallily,Fabio Wardley,tko,3,,"Matchroom Headquarters, Brentwood , England",
20 Jul 2019,Fabio Wardley,Mariano Ruben Diaz Strunz,Fabio Wardley,tko,6,,"The O2 Arena, London, England",
10 May 2019,Fabio Wardley,Dennis Lewandowski,Fabio Wardley,tko,3,,"Nottingham Arena , Nottingham , England",
2 Feb 2019,Fabio Wardley,Morgan Dessaux,Fabio Wardley,tko,1,,"The O2 Arena, London, England",
22 Dec 2018,Fabio Wardley,Phil Williams,Fabio Wardley,tko,3,,"The O2 Arena , London, England",
26 May 2018,Fabio Wardley,Ferenc Zsalek,Fabio Wardley,ko,1,,"Corn Exchange, Ipswich , England",
18 Nov 2017,Fabio Wardley,Scott Saward,Fabio Wardley,ko,1,,"Epic Centre, Norwich, England",
22 Jul 2017,Fabio Wardley,Zheko Zhekov,Fabio Wardley,tko,1,,"Epic Centre, Norwich , England",
8 Apr 2017,Fabio Wardley,Jakub Wójcicki,Fabio Wardley,pts,4,,"York Hall , London , England",
12 Dec 2025,Murat Gassiev,Kubrat Pulev,Murat Gassiev,ko,6,,"Duty Free Tennis Stadium , Dubai , UAE",
23 Aug 2025,Murat Gassiev,Jeremiah Milton,Murat Gassiev,tko,7,,"Miccosukee Indian Gaming Resort, Miami , Florida, US",
26 Oct 2024,Murat Gassiev,Kem Ljungquist,Murat Gassiev,ko,5,,"Karen Demirchyan Complex, Yerevan, Armenia",
30 Sep 2023,Murat Gassiev,Otto Wallin,Otto Wallin,decision_split,12,,"Regnum Carya Hotel, Antalya , Turkey",
3 Mar 2023,Murat Gassiev,Mike Balogun,Murat Gassiev,ko,2,,"Karen Demirchyan Complex , Yerevan , Armenia",
26 Aug 2022,Murat Gassiev,Carlouse Welch,Murat Gassiev,tko,1,,"Belgrade Waterfront Plato Arena, Belgrade , Serbia",
22 Jul 2021,Murat Gassiev,Michael Wallisch,Murat Gassiev,tko,4,,"Dynamo Volleyball Arena , Moscow, Russia",
31 Oct 2020,Murat Gassiev,Nuri Seferi,Murat Gassiev,tko,1,,"WoW Arena, Krasnaya Polyana , Russia",
3 Feb 2018,Murat Gassiev,Yuniel Dorticos,Murat Gassiev,tko,12,,"Bolshoy Ice Dome , Sochi , Russia",
21 Oct 2017,Murat Gassiev,Krzysztof Włodarczyk,Murat Gassiev,ko,3,,"Prudential Center , Newark, New Jersey , US",
3 Dec 2016,Murat Gassiev,Denis Lebedev,Murat Gassiev,decision_split,12,,"Megasport Arena , Moscow , Russia",
17 May 2016,Murat Gassiev,Jordan Shimmell,Murat Gassiev,ko,1,,"Black Bear Casino, Carlton, Minnesota , US",
18 Dec 2015,Murat Gassiev,Isiah Thomas,,no_contest,3,,"Pearl Concert Theater , Paradise, Nevada , US",
13 Jun 2015,Murat Gassiev,Rodney Moore,Murat Gassiev,ko,2,,"Florentine Gardens, Los Angeles, California , US",
17 Apr 2015,Murat Gassiev,Felix Cora Jr.,Murat Gassiev,tko,9,,"Foxwoods Resort Casino , Ledyard, Connecticut , US",
23 Jan 2015,Murat Gassiev,Terrance Smith,Murat Gassiev,tko,4,,"Quiet Cannon , Montebello, California , US",
31 Oct 2014,Murat Gassiev,Engin Karakaplan,Murat Gassiev,tko,1,,"Manezh, Vladikavkaz, Russia",
30 Aug 2014,Murat Gassiev,Leon Harth,Murat Gassiev,tko,4,,"Gerry Weber Stadion , Halle , Germany",
25 Jun 2014,Murat Gassiev,Daniil Peretyatko,Murat Gassiev,tko_corner,1,,"Sport Hall, Tskhinvali, Georgia",
14 May 2014,Murat Gassiev,Giorgi Tevdorashvili,Murat Gassiev,tko,2,,"Restaurant ""Zolotaya Korona"", Vladikavkaz, Russia",
1 Feb 2014,Murat Gassiev,Ismail Abdoul,Murat Gassiev,decision_unanimous,12,,"Traktor Sport Palace, Chelyabinsk, Russia",
13 Dec 2013,Murat Gassiev,Ivica Bacurin,Murat Gassiev,decision_unanimous,10,,"Traktor Sport Palace, Chelyabinsk, Russia",
13 Sep 2013,Murat Gassiev,Roman Mirzoev,Murat Gassiev,tko_corner,3,,"Restaurant ""Zolotaya Korona"", Vladikavkaz, Russia",
26 Jun 2013,Murat Gassiev,Levan Jomardashvili,Murat Gassiev,tko,2,,"Yunost Sport Palace, Chelyabinsk, Russia",
26 May 2013,Murat Gassiev,Igor Pylypenko,Murat Gassiev,tko,4,,"Sports Complex Mordovia, Saransk , Russia",
11 May 2013,Murat Gassiev,Farruh Madaminov,Murat Gassiev,ko,2,,"Tennis Centre, Khanty-Mansiysk , Russia",
16 Mar 2013,Murat Gassiev,Denis Solomko,Murat Gassiev,tko,3,,"Sports Palace ""Znamya"", Noginsk, Russia",
24 Nov 2012,Murat Gassiev,Ivan Serbin,Murat Gassiev,decision_unanimous,6,,"Yunost Sport Palace , Chelyabinsk, Russia",
13 Oct 2012,Murat Gassiev,Ruslan Semenov,Murat Gassiev,tko,3,,"Sport Hall, Tskhinvali , Georgia",
24 Jul 2012,Murat Gassiev,Peter Hegyes,Murat Gassiev,tko,2,,"Budva , Montenegro",
31 May 2012,Murat Gassiev,Teymuraz Kekelidze,Murat Gassiev,tko,1,,"Ufa Arena , Ufa , Russia",
8 Apr 2012,Murat Gassiev,Igor Pylypenko,Murat Gassiev,decision_unanimous,6,,"Sports Palace ""Znamya"", Noginsk , Russia",
16 Mar 2012,Murat Gassiev,Daniil Zakharenko,Murat Gassiev,decision_unanimous,4,,"Circus, Krasnodar , Russia",
26 Nov 2011,Murat Gassiev,Vladimir Chuklin,Murat Gassiev,tko,4,,"Traktor Ice Arena , Chelyabinsk , Russia",
21 Sep 2011,Murat Gassiev,Roman Mirzoev,Murat Gassiev,decision_unanimous,4,,"Manezh, Vladikavkaz , Russia",
10 Jan 2026,Agit Kabayel,Damian Knyba,Agit Kabayel,tko,3,,"Rudolf Weber-Arena , Oberhausen , Germany",
22 Feb 2025,Agit Kabayel,Zhilei Zhang,Agit Kabayel,ko,6,,"ANB Arena, Riyadh, Saudi Arabia",
18 May 2024,Agit Kabayel,Frank Sánchez,Agit Kabayel,ko,7,,"Kingdom Arena, Riyadh, Saudi Arabia",
23 Dec 2023,Agit Kabayel,Arslanbek Makhmudov,Agit Kabayel,tko,4,,"Kingdom Arena , Riyadh , Saudi Arabia",
4 Mar 2023,Agit Kabayel,Agron Smakici,Agit Kabayel,tko,3,,"RuhrCongress, Bochum , Germany",
14 May 2022,Agit Kabayel,Pavel Sour,Agit Kabayel,tko,1,,"Seebühne, Magdeburg, Germany",
5 Jun 2021,Agit Kabayel,Kevin Johnson,Agit Kabayel,decision_unanimous,12,,"Seebühne, Magdeburg, Germany",
18 Jul 2020,Agit Kabayel,Evgenios Lazaridis,Agit Kabayel,decision_unanimous,10,,"Seebühne, Magdeburg, Germany",
2 Mar 2019,Agit Kabayel,Andriy Rudenko,Agit Kabayel,decision_unanimous,12,,"Maritim Hotel, Magdeburg, Germany",
21 Apr 2018,Agit Kabayel,Miljan Rovcanin,Agit Kabayel,tko,3,,"Estrel Berlin Convention Hall II , Berlin, Germany",
4 Nov 2017,Agit Kabayel,Derek Chisora,Agit Kabayel,decision_majority,12,,"Casino de Salle Médecin, Monte Carlo , Monaco",
24 Feb 2017,Agit Kabayel,Herve Hubeaux,Agit Kabayel,decision_unanimous,12,,"Maritim Hotel, Magdeburg, Germany",
4 Jun 2016,Agit Kabayel,Christian Lewandowski,Agit Kabayel,ko,7,,"Seebühne, Magdeburg , Germany",
9 Jan 2016,Agit Kabayel,Lawrence Tauasa,Agit Kabayel,tko,3,,"Maritim proArte Hotel, Berlin , Germany",
5 Dec 2015,Agit Kabayel,Shalva Jomardashvili,Agit Kabayel,ko,1,,"Saarlandhalle , Saarbrücken , Germany",
17 Oct 2015,Agit Kabayel,Maksym Pedyura,Agit Kabayel,tko,2,,"Dm-Arena , Karlsruhe , Germany",
14 Dec 2014,Agit Kabayel,Artsiom Charniakevich,Agit Kabayel,tko,3,,"Maritim Hotel Köln, Cologne, Germany",
22 Mar 2014,Agit Kabayel,Gbenga Oloukun,Agit Kabayel,decision_split,10,,"Atatürk Spor Salonu, Tekirdağ, Turkey",
1 Feb 2014,Agit Kabayel,Wladimir Letr,Agit Kabayel,ko,1,,"Hala Okrąglak, Opole , Poland",
15 Dec 2013,Agit Kabayel,Pavel Siska,Agit Kabayel,tko,2,,"Docks , Hamburg , Germany",
27 Sep 2013,Agit Kabayel,Alexander Kahl,Agit Kabayel,tko,1,,"Atatürk Spor Salonu, Tekirdağ , Turkey",
27 Jul 2013,Agit Kabayel,Engin Solmaz,Agit Kabayel,tko,2,,"Kugelbake-Halle, Cuxhaven , Germany",
6 Apr 2013,Agit Kabayel,Ivan Ćirković,Agit Kabayel,tko,2,,"SPC Vojvodina , Novi Sad , Serbia",
2 Jun 2012,Agit Kabayel,Waldemar Pahl,Agit Kabayel,pts,4,,"Kolpinghaus Beckum, Beckum , Germany",
30 Mar 2012,Agit Kabayel,Waldemar Pahl,Agit Kabayel,tko,3,,"Maritim Hotel Köln, Cologne , Germany",
23 Jul 2011,Agit Kabayel,Selcuk Dinc,Agit Kabayel,pts,4,,"Tai-Kien Gym, Aachen , Germany",
23 Jun 2011,Agit Kabayel,Yeton Abdullah,Agit Kabayel,tko,4,,"Butan Gym, Wuppertal , Germany",
31 Jan 2025,Muslim Gadzhimagomedov,Thabiso Mchunu,Muslim Gadzhimagomedov,decision_unanimous,10,,"International Boxing Centre Luzhniki, Moscow, Russia",
17 Oct 2024,Muslim Gadzhimagomedov,Leon Harth,Muslim Gadzhimagomedov,decision_unanimous,12,,"Ufa Arena , Ufa , Russia",
12 Jul 2024,Muslim Gadzhimagomedov,Zhaoxin Zhang,Muslim Gadzhimagomedov,tko,4,,"IBA Coliseum, Serpukhov , Russia",
9 Dec 2023,Muslim Gadzhimagomedov,Artur Mann,Muslim Gadzhimagomedov,tko_corner,8,,"Agenda Arena, Dubai , United Arab Emirates",
27 Oct 2023,Muslim Gadzhimagomedov,Akani Phuzi,Muslim Gadzhimagomedov,decision_unanimous,8,,"Dushanbe , Tajikistan",
24 Dec 2021,Muslim Gadzhimagomedov,Deibis Berrocal,Muslim Gadzhimagomedov,ko,2,,"Soviet Wings Sport Palace , Moscow , Russia",
19 Jul 2025,Kevin Lerena,Lawrence Okolie,Lawrence Okolie,decision_unanimous,10,,"Wembley Stadium , London, England",
1 May 2025,Kevin Lerena,Serhiy Radchenko,Kevin Lerena,tko,3,,"SunBet Arena , Pretoria, South Africa",
8 Mar 2024,Kevin Lerena,Justis Huni,Justis Huni,decision_unanimous,10,,"Kingdom Arena , Riyadh , Saudi Arabia",
25 Nov 2023,Kevin Lerena,Senad Gashi,Kevin Lerena,decision_unanimous,12,,"Emperors Palace, Kempton Park, South Africa",
13 May 2023,Kevin Lerena,Ryad Merhy,Kevin Lerena,decision_unanimous,12,,"Emperors Palace, Kempton Park, South Africa",
3 Dec 2022,Kevin Lerena,Daniel Dubois,Daniel Dubois,tko,3,,"Tottenham Hotspur Stadium , London , England",
17 Sep 2022,Kevin Lerena,Mariusz Wach,Kevin Lerena,decision_unanimous,10,,"Emperors Palace, Kempton Park, South Africa",
26 Mar 2022,Kevin Lerena,Bogdan Dinu,Kevin Lerena,ko,4,,"Emperors Palace, Kempton Park, South Africa",
19 Dec 2020,Kevin Lerena,Patrick Ferguson,Kevin Lerena,tko,5,,"Emperors Palace, Kempton Park, South Africa",
8 Feb 2020,Kevin Lerena,Firat Arslan,Kevin Lerena,tko,6,,"EWS Arena , Göppingen , Germany",
21 Sep 2019,Kevin Lerena,Sefer Seferi,Kevin Lerena,tko,3,,"Emperors Palace, Kempton Park, South Africa",
8 Jun 2019,Kevin Lerena,Vasil Ducar,Kevin Lerena,decision_unanimous,12,,"Emperors Palace, Kempton Park, South Africa",
16 Mar 2019,Kevin Lerena,Artur Mann,Kevin Lerena,tko,4,,"Emperors Palace, Kempton Park, South Africa",
2 Jun 2018,Kevin Lerena,Roman Golovashchenko,Kevin Lerena,decision_unanimous,12,,"Sarhadci Olympic Center, Baku , Azerbaijan",
3 Mar 2018,Kevin Lerena,Dmytro Kucher,Kevin Lerena,decision_unanimous,12,,"Emperors Palace, Kempton Park, South Africa",
9 Sep 2017,Kevin Lerena,Youri Kayembre Kalenga,Kevin Lerena,decision_split,12,,"Emperors Palace, Kempton Park, South Africa",
23 Apr 2017,Kevin Lerena,Sergio Ramirez,Kevin Lerena,decision_unanimous,8,,"Emperors Palace, Kempton Park, South Africa",
4 Feb 2017,Kevin Lerena,Vikapita Meroro,Kevin Lerena,tko,5,,"Emperors Palace, Kempton Park, South Africa",
22 Oct 2016,Kevin Lerena,Micki Nielsen,Kevin Lerena,decision_majority,10,,"Emperors Palace, Kempton Park, South Africa",
11 Jun 2016,Kevin Lerena,Roberto Bolonti,Kevin Lerena,decision_unanimous,10,,"Emperors Palace, Kempton Park, South Africa",
24 Apr 2016,Kevin Lerena,Johnny Muller,Kevin Lerena,tko,10,,"Emperors Palace, Kempton Park, South Africa",
30 Jul 2015,Kevin Lerena,Deon Coetzee,Kevin Lerena,decision_unanimous,12,,"Emperors Palace, Kempton Park, South Africa",
14 Mar 2015,Kevin Lerena,Igor Pylypenko,Kevin Lerena,decision_unanimous,6,,"Super Arena , Ballerup , Denmark",
15 Nov 2014,Kevin Lerena,Johnny Muller,Johnny Muller,decision_unanimous,10,,"Emperors Palace, Kempton Park, South Africa",
29 Sep 2014,Kevin Lerena,Gogita Gorgiladze,Kevin Lerena,ko,3,,"Emperors Palace, Kempton Park, South Africa",
9 Aug 2014,Kevin Lerena,Marcos Antonio Aumada,Kevin Lerena,decision_unanimous,8,,"Emperors Palace, Kempton Park, South Africa",
22 Nov 2013,Kevin Lerena,Big Ben Marcell Mulumba,Kevin Lerena,pts,6,,"Cape Sun Hotel, Cape Town , South Africa",
21 Sep 2013,Kevin Lerena,Ibrahim Labaran,Kevin Lerena,tko,2,,"Heartfelt Arena, Pretoria, South Africa",
27 Jul 2013,Kevin Lerena,Khayeni Hlungwane,Kevin Lerena,pts,6,,"North Town Hall, Pretoria , South Africa",
16 Feb 2013,Kevin Lerena,Javier Corrales,Kevin Lerena,decision_unanimous,6,,"Emperors Palace, Kempton Park, South Africa",
19 Nov 2012,Kevin Lerena,Jean Lutete Kamba,Kevin Lerena,tko,3,,"Cresta Shopping Centre , Johannesburg, South Africa",
4 Oct 2012,Kevin Lerena,Alex Mbaya,Kevin Lerena,tko,1,,"Turffontein Racecourse , Johannesburg , South Africa",
16 Jun 2012,Kevin Lerena,Lucas Jere,Kevin Lerena,tko,1,,"Emperors Palace, Kempton Park, South Africa",
26 Mar 2012,Kevin Lerena,Gerson Singo,Kevin Lerena,ko,1,,"Emperors Palace, Kempton Park, South Africa",
30 Nov 2011,Kevin Lerena,Justice Siliga,Kevin Lerena,ko,2,,"Emperors Palace, Kempton Park , South Africa",
"Feb 14, 2026",Vartan Arutyunyan,Georgiy Yunovidov,Vartan Arutyunyan,tko,6,,"Traktor Ice Arena , Chelyabinsk, Russia",
"Aug 9, 2025",Vartan Arutyunyan,Vitaly Kudukhov,Vartan Arutyunyan,decision_unanimous,8,,"RCC Boxing Academy, Yekaterinburg, Russia",
"Mar 15, 2025",Vartan Arutyunyan,Kareb Shitana,Vartan Arutyunyan,tko,6,,"RCC Boxing Academy, Yekaterinburg, Russia",
"Nov 30, 2024",Vartan Arutyunyan,Dilan Prašović,Vartan Arutyunyan,tko,1,,"RCC Boxing Academy, Yekaterinburg, Russia",
"Mar 23, 2024",Vartan Arutyunyan,Wilmer Vásquez,Vartan Arutyunyan,ko,1,,"RCC Boxing Academy, Yekaterinburg, Russia",
"Nov 11, 2023",Vartan Arutyunyan,Vladislav Vishev,Vartan Arutyunyan,tko,3,,"RCC Boxing Academy, Yekaterinburg, Russia",
"Jul 22, 2023",Vartan Arutyunyan,Yury Bykhautsou,Vartan Arutyunyan,decision_unanimous,6,,"RCC Boxing Academy, Yekaterinburg, Russia",
"Nov 25, 2022",Vartan Arutyunyan,German Skobenko,Vartan Arutyunyan,tko,5,,"Concert Hall Mir , Moscow, Russia",
"Oct 19, 2022",Vartan Arutyunyan,Viktar Chvarkou,Vartan Arutyunyan,decision_unanimous,6,,"Prime Hall Complex, Yerevan, Armenia",
"May 21, 2021",Vartan Arutyunyan,Alphonce Mchumiatumbo,Vartan Arutyunyan,tko,1,,"Khimki Basketball Center , Khimki, Russia",
"Nov 29, 2019",Vartan Arutyunyan,Ivan Bezverkhyi,Vartan Arutyunyan,decision_unanimous,4,,"VTB Arena , Moscow, Russia",
"Jun 9, 2019",Vartan Arutyunyan,Shokhrukh Zakirov,Vartan Arutyunyan,tko,1,,"Soviet Wings Sport Palace , Moscow, Russia",
25 May 2025,Krzysztof Włodarczyk,Adam Balski,Krzysztof Włodarczyk,ko,10,,"Arena Kalisz, Kalisz , Poland",
24 Feb 2024,Krzysztof Włodarczyk,Pablo Cesar Villanueva,Krzysztof Włodarczyk,decision_unanimous,8,,"Opera i Filharmonia Podlaska, Białystok, Poland",
4 Nov 2023,Krzysztof Włodarczyk,Edwin Mosquera,Krzysztof Włodarczyk,ko,1,,"Nosalowy Dwór, Zakopane , Poland",
7 Oct 2023,Krzysztof Włodarczyk,Fabio Maldonado,Krzysztof Włodarczyk,ko,7,,"Hala MOSiR, Jastrzębie-Zdrój , Poland",
5 May 2023,Krzysztof Włodarczyk,Sylvera Louis,Krzysztof Włodarczyk,ko,7,,"Opera i Filharmonia Podlaska, Białystok , Poland",
29 Sep 2022,Krzysztof Włodarczyk,Cesar Hernan Reynoso,Krzysztof Włodarczyk,tko,6,,"Nosalowy Dwór Hotel Zakopane, Poland",
6 Nov 2021,Krzysztof Włodarczyk,Maximiliano Jorge Gomez,Krzysztof Włodarczyk,tko,4,,"Hala Sportowa, Nowy Sącz, Poland",
17 Jul 2021,Krzysztof Włodarczyk,Vadym Novopashyn,Krzysztof Włodarczyk,decision_unanimous,8,,"Suwałki Arena, Suwałki , Poland",
30 Nov 2019,Krzysztof Włodarczyk,Taylor Mabika,Krzysztof Włodarczyk,decision_unanimous,10,,"Nosalowy Dwór Hotel, Zakopane, Poland",
23 Mar 2019,Krzysztof Włodarczyk,Alexandru Jur,Krzysztof Włodarczyk,decision_unanimous,10,,"Hala Sportowa, Łomża , Poland",
6 Oct 2018,Krzysztof Włodarczyk,Al Sands,Krzysztof Włodarczyk,ko,2,,"Nosalowy Dwór Hotel, Zakopane , Poland",
2 Jun 2018,Krzysztof Włodarczyk,Olanrewaju Durodola,Krzysztof Włodarczyk,decision_unanimous,10,,"G2A Arena, Rzeszów, Poland",
10 Feb 2018,Krzysztof Włodarczyk,Adam Gadajew,Krzysztof Włodarczyk,tko_corner,2,,"Nysa Hall, Nysa , Poland",
20 May 2017,Krzysztof Włodarczyk,Noel Gevor,Krzysztof Włodarczyk,decision_split,12,,"HWS Arena , Poznań, Poland",
10 Dec 2016,Krzysztof Włodarczyk,Leon Harth,Krzysztof Włodarczyk,decision_unanimous,12,,"Hala Orbita, Wrocław, Poland",
28 May 2016,Krzysztof Włodarczyk,Kai Kurzawa,Krzysztof Włodarczyk,tko,4,,"Arena Szczecin , Szczecin , Poland",
4 Mar 2016,Krzysztof Włodarczyk,Valery Brudov,Krzysztof Włodarczyk,tko,2,,"MOSiR Hall, Sosnowiec , Poland",
27 Sep 2014,Krzysztof Włodarczyk,Grigory Drozd,Grigory Drozd,decision_unanimous,12,,"Krylatskoe Sport Palace, Moscow, Russia",
6 Dec 2013,Krzysztof Włodarczyk,Giacobbe Fragomeni,Krzysztof Włodarczyk,tko_corner,6,,"UIC Pavilion , Chicago, Illinois, US",
21 Jun 2013,Krzysztof Włodarczyk,Rakhim Chakhkiev,Krzysztof Włodarczyk,tko,8,,"Krylatskoe Sport Palace , Moscow , Russia",
22 Sep 2012,Krzysztof Włodarczyk,Francisco Palacios,Krzysztof Włodarczyk,decision_unanimous,12,,"Hala Stulecia , Wrocław, Poland",
30 Nov 2011,Krzysztof Włodarczyk,Danny Green,Krzysztof Włodarczyk,tko,11,,"Challenge Stadium , Mount Claremont , Australia",
2 Apr 2011,Krzysztof Włodarczyk,Francisco Palacios,Krzysztof Włodarczyk,decision_split,12,,"Łuczniczka , Bydgoszcz , Poland",
25 Sep 2010,Krzysztof Włodarczyk,Jason Robinson,Krzysztof Włodarczyk,decision_unanimous,12,,"Torwar Hall, Warsaw, Poland",
15 May 2010,Krzysztof Włodarczyk,Giacobbe Fragomeni,Krzysztof Włodarczyk,tko,8,,"Atlas Arena , Łódź, Poland",
27 Nov 2009,Krzysztof Włodarczyk,Konstantin Semerdjiev,Krzysztof Włodarczyk,decision_unanimous,8,,"Hala MOSiR, Ełk , Poland",
16 May 2009,Krzysztof Włodarczyk,Giacobbe Fragomeni,,decision_split,12,,"Il Gran Teatro, Rome , Italy",
5 Apr 2008,Krzysztof Włodarczyk,Gabor Gyuris,Krzysztof Włodarczyk,ko,1,,"CeSiR, Warka , Poland",
9 Feb 2008,Krzysztof Włodarczyk,Gabor Halasz,Krzysztof Włodarczyk,tko,4,,"Hala Sportowo-Widowiskowa ""Globus"", Lublin , Poland",
15 Dec 2007,Krzysztof Włodarczyk,Moyoyo Mensah,Krzysztof Włodarczyk,tko,5,,"Hala Podpromie, Rzeszów, Poland",
20 Oct 2007,Krzysztof Włodarczyk,Dominique Alexander,Krzysztof Włodarczyk,ko,1,,"International Expo Center, Warsaw, Poland",
26 May 2007,Krzysztof Włodarczyk,Steve Cunningham,Steve Cunningham,decision_majority,12,,"Spodek , Katowice, Poland",
25 Nov 2006,Krzysztof Włodarczyk,Steve Cunningham,Krzysztof Włodarczyk,decision_split,12,,"Torwar Hall , Warsaw, Poland",
1 Jul 2006,Krzysztof Włodarczyk,Mircea Telecan,Krzysztof Włodarczyk,tko,1,,"KOSiR, Kepno , Poland",
25 Mar 2006,Krzysztof Włodarczyk,Imamu Mayfield,Krzysztof Włodarczyk,decision_unanimous,12,,"Sports Hall, Siedlce , Poland",
26 Nov 2005,Krzysztof Włodarczyk,Sebastian Hill,Krzysztof Włodarczyk,decision_unanimous,6,,"Copernicus Center , Chicago , Illinois, US",
24 Sep 2005,Krzysztof Włodarczyk,Héctor Alfredo Ávila,Krzysztof Włodarczyk,ko,6,,"Katowice, Poland",
11 Jun 2005,Krzysztof Włodarczyk,John Keeton,Krzysztof Włodarczyk,tko,4,,"Gorzów Wielkopolski , Poland",
16 Apr 2005,Krzysztof Włodarczyk,Rüdiger May,Krzysztof Włodarczyk,ko,10,,"Bydgoszcz , Poland",
19 Feb 2005,Krzysztof Włodarczyk,Tefouet Dieudonne,Krzysztof Włodarczyk,ko,8,,"OSiR, Wolów , Poland",
21 Jan 2005,Krzysztof Włodarczyk,Bryan Blakely,Krzysztof Włodarczyk,tko,3,,"Belvedere Events & Banquets, Elk Grove Village, Illinois , US",
