fighter_id,height_cm,reach_cm
254911,183.0,185.0
255753,163.0,
255758,170.0,
256874,188.0,
257243,164.0,
25859,175.0,
260109,188.0,198.0
264568,167.0,
264937,170.0,
266063,182.0,180.0
268933,178.0,
269321,173.0,185.0
271004,180.0,
271268,180.0,
271349,180.0,173.0
271494,196.0,
271729,178.0,
272182,170.0,168.0
272559,193.0,194.0
273370,170.0,
275029,193.0,
279561,185.0,185.0
281923,196.0,
281924,168.0,
283700,178.0,177.0
284892,175.0,178.0
285231,198.0,198.0
28588,170.0,
291555,185.0,
291944,175.0,175.0
294274,177.0,171.0
296107,179.0,
297258,175.0,178.0
298841,173.0,183.0
305435,183.0,188.0
305664,170.0,165.0
306024,168.0,
307142,191.0,196.0
308028,183.0,183.0
308213,180.0,
311823,166.0,170.0
312869,,
314103,175.0,188.0
315622,180.0,180.0
315862,183.0,183.0
320026,166.0,174.0
320407,163.0,163.0
321888,188.0,193.0
322078,193.0,
322402,198.0,
323458,169.0,
324165,157.0,173.0
324167,182.0,
325117,177.0,178.0
326178,182.0,177.0
326499,177.0,
326947,,
328871,173.0,
330281,184.0,184.0
330495,,
331046,178.0,183.0
333018,185.0,
333368,170.0,
333369,166.0,
337066,,
337472,191.0,191.0
345306,162.0,162.0
354216,188.0,
354414,178.0,
355207,183.0,194.0
358250,,
369449,194.0,200.0
371339,191.0,
376165,,
388875,173.0,
39268,178.0,
398612,,
401185,,
402310,182.0,
402318,163.0,
402369,166.0,
405002,185.0,
405508,160.0,
406110,,
413948,,
415688,173.0,
431430,185.0,188.0
447251,,
480040,,
48545,168.0,
541352,,
547191,,
68489,,
70087,,
73057,175.0,185.0
73952,,
78195,183.0,189.0
84813,,
87116,173.0,
99509,,
