event_id,event_date,matchup_id,fighter_a,fighter_b,price_a,price_b,n_books_a,n_books_b,market_prob_a,market_prob_b,weight_class
945,2018-11-03,4378,Jose Estrella,Miguel Marriaga,1600,-10000,1,1,0.0560799555802332,0.9439200444197667,
945,2018-11-03,4377,Sean Monaghan,Sullivan Barrera,650,-1429,1,1,0.1248519985301923,0.8751480014698076,
945,2018-11-03,4371,Miguel Berchelt,Miguel Roman,-2000,800,1,1,0.8955223880597014,0.1044776119402985,
937,2018-11-10,4392,Artur Szpilka,Mariusz Wach,-200,150,1,1,0.625,0.375,
937,2018-11-10,4388,Richard Riakporhe,Sam Hyde,-303,225,1,1,0.7096018735362997,0.2903981264637002,
937,2018-11-10,4373,Anthony Crolla,Daud Yordan,-333,240,1,1,0.7233580373115257,0.27664196268847435,
937,2018-11-10,4294,Mairis Briedis,Noel Gevor,-2000,800,1,1,0.8955223880597014,0.1044776119402985,
937,2018-11-10,4156,Oleksandr Usyk,Tony Bellew,-625,450,1,1,0.8258258258258258,0.1741741741741742,
937,2018-11-10,4391,Artem Chebotarev,Javier Francisco Maciel,-909,500,1,1,0.843880550827789,0.15611944917221104,
937,2018-11-10,4389,Ariel Esteban Bracamonte,David Allen,1000,-5000,1,1,0.0848585690515807,0.9151414309484193,
937,2018-11-10,4387,Josh Kelly,Walter Castillo,-10000,1600,1,1,0.9439200444197667,0.0560799555802332,
937,2018-11-10,4386,Ricky Burns,Scott Cardle,-625,350,1,1,0.795053003533569,0.2049469964664311,
937,2018-11-10,4268,Krzysztof Glowacki,Maksim Vlasov,100,-139,1,1,0.4622823984526112,0.5377176015473888,
969,2018-11-16,4404,Egidijus Kavaliauskas,Roberto Arriaza,-1667,700,1,1,0.8830033768125539,0.11699662318744622,
969,2018-11-16,4403,Alex Saucedo,Maurice Hooker,-200,150,1,1,0.625,0.375,
966,2018-11-17,4405,Robin Krasniqi,Ronnie Landaeta,-455,300,1,1,0.7663157894736842,0.23368421052631577,
966,2018-11-17,4396,Frankie Gavin,Kerman Lejarraga,700,-1429,1,1,0.1179692924928632,0.8820307075071367,
966,2018-11-17,4408,Anthony Sims Jr,Colby Coulter,-10000,1600,1,1,0.9439200444197667,0.0560799555802332,
966,2018-11-17,4406,Brandon Rios,Ramon Alvarez,-909,500,1,1,0.843880550827789,0.15611944917221104,
966,2018-11-17,4407,Gabriel Rosado,Luis Arias,150,-200,1,1,0.375,0.625,
966,2018-11-17,4398,Claressa Shields,Hannah Rankin,-10000,1600,1,1,0.9439200444197667,0.0560799555802332,
966,2018-11-17,4399,Josue Morales,Nico Hernandez,1600,-10000,1,1,0.0560799555802332,0.9439200444197667,
966,2018-11-17,4397,Bogdan Dinu,Jarrell Miller,700,-1429,1,1,0.1179692924928632,0.8820307075071367,
971,2018-11-24,4420,Isaac Zarate,Murodjon Akhmadaliev,1600,-10000,1,1,0.0560799555802332,0.9439200444197667,
971,2018-11-24,4419,Laron Mitchell,Sergey Kuzmin,800,-2500,1,1,0.10358565737051792,0.8964143426294822,
971,2018-11-24,4418,Daniyar Yeleussinov,Marcos Mojica,-10000,1600,1,1,0.9439200444197667,0.0560799555802332,
971,2018-11-24,4415,Alexander Ustinov,Michael Hunter,450,-833,1,1,0.16919031643848037,0.8308096835615196,
971,2018-11-24,4414,Israel Gonzalez,Khalid Yafai,1200,-5000,1,1,0.07275320970042796,0.927246790299572,
971,2018-11-24,4417,Denis Lebedev,Mike Wilson,-2500,800,1,1,0.8964143426294822,0.10358565737051792,
971,2018-11-24,4413,Fanlong Meng,Frank Buglioni,137,-189,1,1,0.3921675057332447,0.6078324942667553,
971,2018-11-24,4411,Dmitry Bivol,Jean Pascal,-2000,900,1,1,0.9049773755656108,0.09502262443438914,
952,2018-11-30,4436,Mark Ramirez,Youssef Dib,600,-1250,1,1,0.13366336633663364,0.8663366336633663,
952,2018-11-30,4431,Ben Horn,Lachlan O'Shea,-303,225,1,1,0.7096018735362997,0.2903981264637002,
952,2018-11-30,4433,Kori Farr,Krystina Jacobs,175,-250,1,1,0.3373493975903614,0.6626506024096386,
952,2018-11-30,4437,David Aloua,Kurtis Pegoraro,-120,-120,1,1,0.5,0.5,
952,2018-11-30,4438,Adrian Rodriguez,Ben Mahoney,137,-189,1,1,0.3921675057332447,0.6078324942667553,
952,2018-11-30,4432,Francis Chua,Kye Mackenzie,600,-1250,1,1,0.13366336633663364,0.8663366336633663,
952,2018-11-30,4434,Brent Rice,Liam Wilson,300,-455,1,1,0.23368421052631577,0.7663157894736842,
952,2018-11-30,4435,Cameron Hammond,Frank Rojas,-714,400,1,1,0.8143248175182483,0.18567518248175185,
952,2018-11-30,4305,Anthony Mundine,Jeff Horn,350,-625,1,1,0.2049469964664311,0.795053003533569,
952,2018-11-30,4441,Lewis Benson,Tyrone McKenna,225,-303,1,1,0.2903981264637002,0.7096018735362997,
952,2018-11-30,4440,Evaldas Korsakas,Kieran Smith,350,-625,1,1,0.2049469964664311,0.795053003533569,
952,2018-11-30,4426,Fabio Turchi,Tony Conquest,-1250,600,1,1,0.8663366336633663,0.13366336633663364,
952,2018-11-30,4425,Devis Boschiero,Martin Joseph Ward,350,-625,1,1,0.2049469964664311,0.795053003533569,
952,2018-11-30,4424,Andrea Scarpa,Joe Hughes,-227,162,1,1,0.6452361837394492,0.3547638162605507,
952,2018-11-30,4439,Iain Butcher,Ukashir Farooq,333,-500,1,1,0.21699819168173598,0.783001808318264,
922,2018-12-01,4430,Carlos Licona,Mark Anthony Barriga,225,-303,1,1,0.2903981264637002,0.7096018735362997,
